    2470 B   26 rules  .search-round-block
    1158 B    9 rules  .sw-a-completed
    1042 B    8 rules  .sw-a-error
     788 B    9 rules  .search-badge
     758 B    9 rules  .mp-failed
     737 B   12 rules  .debug-line
     603 B    6 rules  .mp-skipped
     442 B    4 rules  .branch-send-btn
     442 B    4 rules  .tofu-mascot-svg
     441 B    5 rules  .search-round-header
     432 B    3 rules  .project-brain-toggle
     425 B    4 rules  .mp-expandable
     412 B    2 rules  .pb-kind-aborted
     412 B    2 rules  .pb-kind-blocked
     412 B    2 rules  .pb-kind-dismissed
     411 B    3 rules  .ep-review-score
     407 B    6 rules  .ptool-cmd-toggle-code
     403 B    5 rules  .branch-stream-zone
     402 B    2 rules  .memory-skeleton
     397 B    3 rules  .settings-checkbox-list
     396 B    1 rules  .pb-status-loading
     391 B    6 rules  .search-round-icon
     390 B    3 rules  .tctx-tone-mcp
     388 B    3 rules  .tctx-tone-ai
     386 B    3 rules  .tctx-tone-code
     386 B    3 rules  .tctx-tone-net
     386 B    3 rules  .tctx-tone-search
     366 B    2 rules  .mp-tag-remove
     365 B    4 rules  .mp-details
     358 B    3 rules  .ptool-cmd-progress-pct
     350 B    2 rules  .pb-kind-completed
     350 B    2 rules  .pb-kind-run_concluded
     349 B    2 rules  .sw-await-card
     344 B    1 rules  .ctx-bar-dots
     344 B    1 rules  .ctx-bar-fill
     344 B    1 rules  .ctx-bar-fill-head
     344 B    1 rules  .ctx-bar-icon
     344 B    1 rules  .ctx-bar-plank
     344 B    1 rules  .ctx-bar-rail
     344 B    1 rules  .ctx-bar-shell
     344 B    1 rules  .ctx-bar-tick
     344 B    1 rules  .ctx-bar-tofu-stack
     344 B    1 rules  .ctx-bar-track
     344 B    1 rules  .ctx-bar-tray
     344 B    1 rules  .ctx-plank-cuts
     344 B    1 rules  .ctx-plank-fill
     344 B    1 rules  .ctx-plank-sheen
     344 B    1 rules  .ctx-tofu-cell
     344 B    1 rules  .ctx-tray-cell
     344 B    1 rules  .ctx-tray-cell-fill
     344 B    1 rules  .ctx-tray-cells
     344 B    1 rules  .ctx-tray-seeds
     337 B    3 rules  .search-round-count
     334 B    4 rules  .branch-search-results
     332 B    2 rules  .stg-preset-row
     317 B    4 rules  .search-round-toggle
     315 B    3 rules  .ptool-cmd-progress
     314 B    4 rules  .browser-badge
     312 B    2 rules  .class_
     312 B    2 rules  .function_
     298 B    2 rules  .pb-kind-claimed
     298 B    2 rules  .pb-kind-started
     294 B    2 rules  .branch-mode-banner-close
     288 B    3 rules  .search-round-num
     287 B    2 rules  .vu-private-summary
     277 B    4 rules  .branch-search-round
     272 B    1 rules  .sw-inbox-row-payload
     271 B    1 rules  .sw-get-card
     261 B    1 rules  .is-focused
     252 B    2 rules  .vu-investigation-header
     251 B    2 rules  .paper-report-tool-status
     249 B    3 rules  .mp-chevron
     245 B    1 rules  .paper-report-tool-log
     241 B    1 rules  .branch-reply-quote
     239 B    2 rules  .branch-typing-indicator
     239 B    3 rules  .search-round-label
     236 B    3 rules  .pb-dot
     234 B    2 rules  .vu-handoff-header
     232 B    3 rules  .endpoint-result-tag
     231 B    1 rules  .stg-preset-header
     230 B    1 rules  .sw-init
     228 B    3 rules  .pricing-stat
     224 B    2 rules  .vu-private-zone
     211 B    3 rules  .ptool-cmd-output-curline
     210 B    2 rules  .code-exec-badge
     210 B    2 rules  .folder-nav-btn
     210 B    2 rules  .scheduler-badge
     207 B    2 rules  .memory-badge
     203 B    1 rules  .scheduler-panel-title
     203 B    2 rules  .stg-preset-label
     192 B    1 rules  .user-translating
     190 B    1 rules  .pricing-info-panel
     186 B    1 rules  .epi-spinner
     185 B    1 rules  .inherited__
     185 B    1 rules  .project-brain-placeholder
     184 B    1 rules  .pb-board-lane-done
     184 B    1 rules  .pb-board-lane-open
     181 B    1 rules  .settings-label
     178 B    2 rules  .pricing-stat-label
     174 B    1 rules  .vu-investigation-icon
     169 B    1 rules  .upd-inline-spin
     168 B    1 rules  .paper-report-sections-tracker
     166 B    2 rules  .tl-error
     166 B    2 rules  .tl-parse_error
     161 B    1 rules  .ig-spinner
     158 B    1 rules  .tool-exec-pulse
     153 B    2 rules  .is-referenced
     153 B    1 rules  .pb-board-lane-claimed
     153 B    1 rules  .settings-key-stats
     153 B    2 rules  .vu-sent-zone
     152 B    1 rules  .stg-badge-bal-low
     149 B    2 rules  .branch-msg-content
     149 B    2 rules  .search-round-content
     147 B    1 rules  .branch-node-streaming-dot
     144 B    2 rules  .vu-private-toggle
     141 B    1 rules  .collab-status
     140 B    1 rules  .branch-connector
     140 B    2 rules  .branch-search-link
     140 B    2 rules  .paper-report-tool-log-entry
     138 B    1 rules  .reply-quote-chip-name
     138 B    1 rules  .stream-liveness-dead
     135 B    2 rules  .stream-phase-autopilot
     133 B    1 rules  .branch-input-area
     130 B    2 rules  .turn-dot-optimizer
     129 B    1 rules  .paper-report-progress
     128 B    1 rules  .submenu-icon
     125 B    2 rules  .mp-expanded
     123 B    1 rules  .project-bar-path
     122 B    1 rules  .sw-inbox-row-agent
     120 B    2 rules  .project-path-row
     120 B    2 rules  .ptool-cmd-code-wrap
     120 B    2 rules  .toc-l3
     120 B    1 rules  .tofu-cheek-l
     120 B    1 rules  .tofu-cheek-r
     118 B    1 rules  .app-root
     118 B    1 rules  .chat-shell
     118 B    2 rules  .memory-btn-close
     116 B    1 rules  .stg-badge-bal-warn
     115 B    1 rules  .pb-board-act-complete
     114 B    1 rules  .stg-badge-bal-ok
     113 B    1 rules  .pb-board-act-reopen
     113 B    1 rules  .pb-board-act-resume
     113 B    1 rules  .pricing-divider
     110 B    1 rules  .branch-reply-quote-text
     110 B    1 rules  .ps-dd-desc
     110 B    2 rules  .thinking-icon
     109 B    1 rules  .upd-loading
     108 B    1 rules  .pb-board-act-block
     106 B    1 rules  .mp-tag-path
     106 B    2 rules  .tp-failed
     102 B    2 rules  .vu-private-body
     101 B    1 rules  .loading-dots
     100 B    1 rules  .paper-review-seg-dot
      97 B    1 rules  .sw-await-card-meta
      97 B    1 rules  .sw-get-card-meta
      97 B    2 rules  .tl-ready
      95 B    2 rules  .tl-wait
      94 B    1 rules  .reply-quote-chip-info
      93 B    1 rules  .branch-thinking-body
      92 B    1 rules  .apf-toggle
      92 B    1 rules  .autopilot-run-fold-summary
      90 B    1 rules  .branch-search-header
      90 B    1 rules  .tofu-eye
